2025-09-18 18:51:18,044 | trend-bot | INFO | Environment: Devnet (Test Network)
2025-09-18 18:51:18,045 | trend-bot | INFO | Mode: TEST TRADING (safe to use!)
2025-09-18 18:51:18,045 | trend-bot | INFO | ================================================================================
2025-09-18 18:51:18,046 | trend-bot | INFO | Press Ctrl+C to stop gracefully
2025-09-18 18:51:18,046 | trend-bot | INFO | 
2025-09-18 18:51:18,048 | trend-bot | INFO | Initializing Trend Bot for beta.drift.trade...
2025-09-18 18:51:18,048 | trend-bot | ERROR | HELIUS_API_KEY environment variable not set
2025-09-18 18:51:18,049 | trend-bot | ERROR | Failed to initialize client
2025-09-18 18:51:20,362 | trend-bot | INFO | ================================================================================
2025-09-18 18:51:20,363 | trend-bot | INFO | TREND BOT LAUNCHING IN DEVNET MODE
2025-09-18 18:51:20,364 | trend-bot | INFO | ================================================================================
2025-09-18 18:51:20,364 | trend-bot | INFO | Strategy: MACD + Momentum with Anti-Chop Filters
2025-09-18 18:51:20,365 | trend-bot | INFO | Target: SOL-PERP on Drift Protocol
2025-09-18 18:51:20,366 | trend-bot | INFO | Environment: Devnet (Test Network)
2025-09-18 18:51:20,367 | trend-bot | INFO | Mode: TEST TRADING (safe to use!)
2025-09-18 18:51:20,367 | trend-bot | INFO | ================================================================================
2025-09-18 18:51:20,367 | trend-bot | INFO | Press Ctrl+C to stop gracefully
2025-09-18 18:51:20,368 | trend-bot | INFO | 
2025-09-18 18:51:20,368 | trend-bot | INFO | Initializing Trend Bot for beta.drift.trade...
2025-09-18 18:51:20,369 | trend-bot | ERROR | HELIUS_API_KEY environment variable not set
2025-09-18 18:51:20,369 | trend-bot | ERROR | Failed to initialize client
2025-09-18 18:51:24,654 | trend-bot | INFO | ================================================================================
2025-09-18 18:51:24,655 | trend-bot | INFO | TREND BOT LAUNCHING IN DEVNET MODE
2025-09-18 18:51:24,655 | trend-bot | INFO | ================================================================================
2025-09-18 18:51:24,656 | trend-bot | INFO | Strategy: MACD + Momentum with Anti-Chop Filters
