2025-09-18 23:15:40,674 | jit-mm-swift | INFO | Tracked real order: sell 0.250 SOL @ $244.02
2025-09-18 23:15:40,674 | jit-mm-swift | INFO | Tracked real order: sell 0.250 SOL @ $244.02
2025-09-18 23:15:40,675 | jit-mm-swift | INFO | Tracked real order: sell 0.250 SOL @ $244.02
2025-09-18 23:15:40,675 | jit-mm-swift | INFO | Tracked real order: sell 0.250 SOL @ $244.02
2025-09-18 23:15:40,676 | jit-mm-swift | INFO | Tracked real order: sell 0.250 SOL @ $244.02
2025-09-18 23:15:40,677 | jit-mm-swift | INFO | Tracked real order: sell 0.250 SOL @ $244.02
2025-09-18 23:15:40,678 | jit-mm-swift | INFO | Tracked real order: sell 0.250 SOL @ $244.02
2025-09-18 23:15:40,678 | jit-mm-swift | INFO | Tracked real order: sell 0.250 SOL @ $244.02
2025-09-18 23:15:40,678 | jit-mm-swift | INFO | Tracked real order: sell 0.250 SOL @ $244.02
2025-09-18 23:15:40,679 | jit-mm-swift | INFO | Tracked real order: sell 0.250 SOL @ $243.97
2025-09-18 23:15:40,680 | jit-mm-swift | INFO | REAL order sync complete: 12 orders tracked in 8.9ms
2025-09-18 23:15:40,680 | jit-mm-swift | INFO | [VERBOSE] === ORDER CLEANUP START ===
2025-09-18 23:15:40,680 | jit-mm-swift | INFO | [VERBOSE] Current order count: 12/32
2025-09-18 23:15:40,681 | jit-mm-swift | INFO | [VERBOSE] Order count 12 below threshold 25, skipping cleanup
2025-09-18 23:15:40,681 | jit-mm-swift | INFO | [VERBOSE] === ORDER SYNC COMPLETE ===
2025-09-18 23:15:40,682 | jit-mm-swift | INFO | [VERBOSE] sync_ok active_orders=12
2025-09-18 23:15:40,682 | jit-mm-swift | INFO | [VERBOSE] max_live_orders setting: 10
2025-09-18 23:15:40,682 | jit-mm-swift | INFO | [VERBOSE] placement_blocked: False
2025-09-18 23:15:40,683 | jit-mm-swift | INFO | [VERBOSE] Active order details:
2025-09-18 23:15:40,683 | jit-mm-swift | INFO | [VERBOSE]   Order 6234: OrderInfo(order_id='6234', side='sell', price=244.0259, size=0.25, timestamp=1758251710.6721501, status='active')
2025-09-18 23:15:40,684 | jit-mm-swift | INFO | [VERBOSE]   Order 6235: OrderInfo(order_id='6235', side='sell', price=244.0208, size=0.25, timestamp=1758251710.6731555, status='active')
2025-09-18 23:15:40,685 | jit-mm-swift | INFO | [VERBOSE]   Order 6236: OrderInfo(order_id='6236', side='sell', price=244.0208, size=0.25, timestamp=1758251710.6731555, status='active')
2025-09-18 23:15:40,686 | jit-mm-swift | INFO | [VERBOSE]   Order 6237: OrderInfo(order_id='6237', side='sell', price=244.0198, size=0.25, timestamp=1758251710.6741548, status='active')
2025-09-18 23:15:40,686 | jit-mm-swift | INFO | [VERBOSE]   Order 6238: OrderInfo(order_id='6238', side='sell', price=244.0244, size=0.25, timestamp=1758251710.6751516, status='active')
2025-09-18 23:15:41,405 | jit-mm-swift | WARNING | ⚠️  Trading paused: drift_ready=True, market_feed_ready=False
2025-09-18 23:15:43,410 | jit-mm-swift | INFO | sync_start delay=10s
2025-09-18 23:15:43,410 | jit-mm-swift | INFO | Syncing existing orders from Drift...
2025-09-18 23:15:43,411 | jit-mm-swift | INFO | DriftPy get_open_orders returned 12 orders
2025-09-18 23:15:43,411 | jit-mm-swift | INFO | Tracked real order: sell 0.250 SOL @ $244.03
2025-09-18 23:15:43,412 | jit-mm-swift | INFO | Tracked real order: sell 0.250 SOL @ $244.02
2025-09-18 23:15:43,413 | jit-mm-swift | INFO | Tracked real order: sell 0.250 SOL @ $244.02
2025-09-18 23:15:43,413 | jit-mm-swift | INFO | Tracked real order: sell 0.250 SOL @ $244.02
2025-09-18 23:15:43,413 | jit-mm-swift | INFO | Tracked real order: sell 0.250 SOL @ $244.02
2025-09-18 23:15:43,414 | jit-mm-swift | INFO | Tracked real order: sell 0.250 SOL @ $244.02
2025-09-18 23:15:43,414 | jit-mm-swift | INFO | Tracked real order: sell 0.250 SOL @ $244.02
2025-09-18 23:15:43,415 | jit-mm-swift | INFO | Tracked real order: sell 0.250 SOL @ $244.02
2025-09-18 23:15:43,415 | jit-mm-swift | INFO | Tracked real order: sell 0.250 SOL @ $244.02
2025-09-18 23:15:43,415 | jit-mm-swift | INFO | Tracked real order: sell 0.250 SOL @ $244.02
2025-09-18 23:15:43,416 | jit-mm-swift | INFO | Tracked real order: sell 0.250 SOL @ $244.02
2025-09-18 23:15:43,416 | jit-mm-swift | INFO | Tracked real order: sell 0.250 SOL @ $243.97
2025-09-18 23:15:43,417 | jit-mm-swift | INFO | REAL order sync complete: 12 orders tracked in 7.0ms
2025-09-18 23:15:43,417 | jit-mm-swift | INFO | sync_ok active_orders=12
2025-09-18 23:15:43,577 | jit-mm-swift | WARNING | placement_blocked: at max orders (12/10)
